Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
39.25,31.75,325.58,328.08,329.31,322.49,311.92,294.85,281.42,257.53,251.49,242.11,180.82,181.94,169.34,157.25,156.88,152.00,151.91,224.99,219.44,240.68,258.19
39.25,32.25,297.24,299.18,301.37,295.12,285.99,271.01,259.29,237.83,176.22,171.84,172.52,173.38,188.34,149.20,148.78,144.43,214.58,203.50,204.08,220.63,237.04
39.25,32.75,282.64,280.61,281.70,276.12,268.52,253.46,240.25,166.21,164.53,162.14,163.35,164.04,151.10,140.06,139.12,133.95,217.35,212.28,212.63,232.18,249.11
39.25,33.25,272.87,275.36,277.39,272.65,265.02,252.18,184.16,170.59,169.73,165.82,190.47,166.33,153.61,142.46,141.44,137.01,212.13,214.13,225.83,244.74,263.75
39.25,33.75,284.74,287.03,287.90,282.73,273.81,260.56,247.22,170.10,169.22,166.49,167.41,166.84,154.68,142.73,142.19,136.40,219.29,226.56,235.55,256.04,272.49
39.25,34.25,268.08,273.45,272.90,265.63,259.08,245.06,180.20,165.52,165.26,162.06,163.64,164.45,151.24,139.91,138.58,204.92,213.47,219.94,229.67,247.22,264.19
39.25,34.75,245.70,249.94,251.54,246.76,196.67,186.11,177.35,163.00,161.56,159.20,160.73,161.13,148.27,136.86,135.88,187.51,201.63,208.24,218.67,238.85,254.84
39.25,35.25,317.94,320.94,319.49,310.89,248.80,234.46,171.07,155.63,153.42,149.07,152.08,153.91,140.66,130.24,203.96,207.67,218.19,221.14,225.47,245.97,262.54
39.25,35.75,335.77,337.09,335.11,325.10,313.62,295.32,160.10,145.83,146.09,142.76,143.38,144.11,134.10,208.61,212.45,218.58,228.80,225.88,224.40,244.99,258.46
39.25,36.25,302.08,302.98,303.26,294.09,233.33,176.04,165.57,150.66,148.11,144.26,146.73,148.29,135.91,126.34,187.75,193.21,201.05,206.69,212.95,235.10,250.75
39.25,36.75,284.10,282.31,281.02,272.88,258.71,160.25,131.95,137.14,134.57,131.17,132.25,132.83,123.10,167.81,171.21,175.15,186.41,189.51,192.17,214.39,229.60
39.25,37.25,276.37,272.60,268.49,261.67,248.23,230.28,211.77,197.14,122.36,119.32,121.31,123.16,113.43,157.86,160.41,164.69,174.58,175.04,177.32,196.07,211.44
39.25,37.75,229.78,233.62,229.28,183.55,177.24,148.89,137.58,125.54,122.73,119.75,120.02,121.72,112.63,106.17,106.39,144.53,153.88,162.16,169.34,187.70,207.47
39.25,38.25,222.29,221.69,223.79,221.14,215.79,205.28,196.43,178.24,179.13,172.44,175.89,178.74,155.76,135.78,132.65,126.10,108.16,102.41,151.13,168.95,183.28
39.25,38.75,198.24,174.36,174.87,171.78,164.85,130.30,123.32,113.00,109.64,106.98,106.96,128.90,101.62,97.29,98.22,97.49,100.27,147.19,157.02,179.09,193.56
39.25,39.25,223.62,183.88,187.27,154.99,147.64,138.84,130.28,120.01,118.43,115.46,135.93,118.39,111.00,104.05,104.92,149.95,159.05,168.24,187.15,204.52,219.88
39.25,39.75,251.95,252.91,211.66,205.98,200.76,191.61,137.96,125.89,124.45,122.21,123.25,125.51,117.13,110.52,109.76,175.06,182.75,202.82,209.25,228.68,242.75
39.25,40.25,220.11,234.57,236.50,228.97,223.22,211.55,144.20,132.85,128.76,128.06,130.41,164.67,152.31,116.45,116.78,153.58,165.80,217.68,228.02,251.58,266.06
38.75,27.75,753.78,750.71,755.03,741.26,728.10,695.99,679.49,632.26,623.48,609.02,605.26,605.74,566.11,407.94,407.09,398.10,402.60,371.84,351.03,372.01,384.62
38.75,28.25,251.90,256.69,261.49,260.80,256.41,243.59,233.79,210.58,210.14,203.81,164.16,207.60,153.22,144.85,144.56,142.94,144.87,133.34,161.79,131.62,135.45
38.75,28.75,263.84,266.54,265.83,262.27,255.08,242.22,231.80,209.23,206.88,201.82,199.64,204.57,157.60,148.68,168.00,145.11,146.05,184.89,189.83,206.10,220.97
38.75,29.25,316.96,317.49,317.41,311.79,300.64,283.23,267.28,242.67,235.80,174.32,175.32,175.07,162.16,151.61,150.44,146.35,226.83,126.56,230.72,250.01,266.76
38.75,29.75,332.44,329.04,330.15,322.53,310.54,292.94,275.26,253.45,244.27,237.29,233.91,234.91,161.93,149.67,149.35,144.11,241.72,121.11,244.81,265.12,280.76
38.75,30.25,321.45,320.00,320.41,310.17,299.85,282.16,267.27,241.45,233.92,225.66,172.98,175.02,160.61,148.87,147.91,141.56,139.48,243.60,244.94,267.79,282.97
38.75,30.75,295.59,294.87,295.63,289.65,279.53,262.62,247.47,173.35,215.88,169.60,171.77,201.64,159.27,147.70,146.78,141.49,223.35,224.49,229.92,250.71,268.07
38.75,31.25,320.14,321.06,320.11,312.36,301.86,284.98,269.01,242.76,238.89,172.03,173.57,174.52,160.97,149.33,147.79,143.03,239.61,239.64,243.88,265.15,282.21
38.75,31.75,326.07,328.83,328.46,322.98,312.60,296.24,279.67,256.32,245.25,236.48,236.09,235.75,162.01,149.73,148.72,143.40,141.63,241.10,245.98,266.41,282.78
38.75,32.25,292.28,293.89,296.09,289.48,281.07,264.40,251.62,227.99,169.02,165.20,200.99,166.77,153.45,141.72,141.24,136.15,212.91,202.02,198.07,216.45,229.51
38.75,32.75,269.98,275.05,275.65,270.75,262.57,248.43,177.58,162.86,162.81,158.99,159.61,180.85,147.19,136.29,135.31,130.90,195.74,185.94,186.06,201.56,213.79
38.75,33.25,278.68,283.14,284.70,279.00,272.54,259.48,248.08,177.50,217.03,172.05,172.67,197.49,176.27,147.50,146.95,141.81,192.99,187.93,192.47,208.28,223.60
38.75,33.75,277.88,281.12,280.97,276.26,268.96,255.59,244.38,171.15,170.56,167.23,168.55,169.12,155.52,143.48,142.27,136.34,204.75,205.09,205.92,225.63,240.20
38.75,34.25,280.44,284.84,284.80,277.29,271.45,256.28,244.59,166.93,165.43,161.82,162.93,199.21,150.57,138.60,137.37,132.16,131.28,210.11,219.01,239.14,255.02
38.75,34.75,298.80,300.87,301.60,295.02,286.34,269.02,256.29,233.87,165.08,161.45,162.73,164.44,150.40,138.63,137.18,130.69,128.52,229.13,232.65,251.94,269.12
38.75,35.25,293.59,293.06,291.65,286.89,276.76,261.00,248.57,161.45,161.07,158.96,161.08,161.99,148.16,136.63,134.81,128.47,223.11,223.52,227.19,247.61,263.53
38.75,35.75,308.63,309.29,306.33,191.71,184.54,171.91,163.36,127.20,144.93,143.44,146.44,148.78,136.14,126.61,124.37,197.22,209.26,206.46,209.54,228.32,243.69
38.75,36.25,269.93,270.35,268.18,260.85,248.45,231.46,143.50,130.05,129.04,125.05,126.50,127.81,119.15,162.39,164.44,167.82,176.80,174.80,173.48,192.74,206.55
38.75,36.75,250.40,251.37,250.03,242.76,228.31,147.32,139.20,126.81,124.63,121.27,121.94,123.27,114.43,148.94,106.25,158.40,165.14,164.82,166.16,186.23,199.64
38.75,37.25,246.90,243.88,245.36,235.66,223.68,144.67,136.42,123.16,121.05,119.82,120.47,122.32,113.33,105.75,152.18,153.96,162.27,164.57,164.18,182.19,195.06
38.75,37.75,208.88,214.24,177.49,171.83,166.73,141.09,124.06,120.60,117.49,115.08,128.67,118.72,110.49,104.08,104.18,101.34,103.76,147.97,154.11,170.90,182.89
38.75,38.25,240.40,242.18,243.83,241.00,237.73,227.35,217.41,201.83,202.11,196.84,198.96,200.97,178.05,158.20,155.07,114.83,115.57,109.07,102.48,160.92,176.74
38.75,38.75,243.86,244.60,246.67,239.65,233.70,221.99,212.15,191.32,191.99,187.70,191.36,194.60,170.82,148.31,115.95,114.30,116.04,106.71,161.95,178.29,192.12
38.75,39.25,271.44,272.50,275.92,271.47,265.42,254.00,246.45,228.32,228.75,222.47,224.76,225.99,204.97,184.49,180.11,170.07,170.44,119.32,113.90,122.94,128.11
38.75,39.75,268.36,269.80,272.13,266.22,261.50,247.71,238.72,219.30,218.39,212.06,215.01,218.44,194.42,172.51,168.56,163.77,163.73,120.72,113.98,120.75,215.04
38.75,40.25,252.65,252.60,253.33,246.78,240.02,225.78,216.16,195.86,194.29,191.03,193.79,198.02,172.32,155.17,154.13,147.48,145.00,111.07,166.87,185.63,202.52
38.25,27.75,754.19,756.02,758.91,747.77,737.60,709.80,686.82,643.64,632.33,614.85,614.57,612.43,574.94,538.46,532.85,520.64,519.55,371.01,349.28,369.70,383.92
38.25,28.25,254.54,258.27,262.68,262.90,259.76,246.35,236.92,177.20,213.96,164.72,207.64,208.83,151.69,143.10,143.47,140.86,143.68,133.63,124.99,133.35,138.82
38.25,28.75,249.60,254.11,257.90,256.57,254.48,243.53,233.15,213.20,210.30,164.32,204.01,202.04,151.05,142.48,142.62,140.48,143.48,133.59,162.47,132.38,136.15
38.25,29.25,689.12,686.92,691.23,679.28,668.02,636.87,611.78,559.45,561.14,547.25,555.48,558.68,424.79,387.32,382.31,370.33,369.00,335.58,313.29,333.45,344.76
38.25,29.75,605.29,600.99,610.50,596.47,587.17,551.93,544.42,440.77,432.53,410.57,412.21,417.02,373.92,342.77,340.25,331.73,328.27,297.92,122.58,305.92,319.99
38.25,30.25,318.38,320.35,321.05,314.12,303.49,285.65,270.71,246.03,180.49,176.19,176.95,218.56,208.40,152.93,152.72,148.45,147.44,231.97,237.12,259.13,276.59
38.25,30.75,286.93,287.83,288.81,282.27,271.94,255.22,244.86,171.92,170.70,208.65,168.27,195.55,156.00,145.29,144.79,140.32,208.76,211.30,218.19,238.38,255.73
38.25,31.25,319.88,321.10,321.81,313.01,302.31,283.51,268.69,242.43,234.96,170.03,171.98,172.39,159.43,146.82,146.11,141.25,237.22,237.41,241.01,262.50,280.53
38.25,31.75,320.71,322.13,321.90,312.86,302.00,284.17,268.94,242.22,236.52,225.99,166.58,167.99,153.95,141.92,140.00,134.10,130.25,241.29,242.09,263.14,279.48
38.25,32.25,290.96,292.84,292.66,285.85,275.16,257.07,242.81,159.72,159.99,157.12,158.81,159.88,146.10,134.95,133.63,127.75,216.57,217.02,211.09,230.04,243.25
38.25,32.75,263.32,273.07,275.43,269.07,261.30,246.85,179.86,165.61,164.06,160.65,161.73,162.01,148.46,137.31,135.80,131.02,130.07,173.32,166.47,182.87,197.44
38.25,33.25,254.63,263.55,267.43,262.37,256.96,195.21,227.47,171.97,170.54,166.76,167.43,168.01,154.01,142.20,140.83,135.41,173.24,164.99,160.75,176.70,186.31
38.25,33.75,250.92,263.86,265.23,260.10,255.71,194.29,185.39,171.50,170.63,166.63,167.42,166.82,171.02,142.23,140.51,135.51,179.72,171.96,171.35,184.67,199.53
38.25,34.25,263.04,266.64,264.40,259.77,251.00,237.75,170.15,155.86,156.44,153.06,155.17,155.85,142.91,131.40,129.88,123.92,120.44,195.31,188.35,204.57,213.72
38.25,34.75,280.09,285.03,282.22,274.32,267.01,250.29,237.59,159.09,159.42,157.02,159.88,161.39,146.86,134.84,133.31,126.69,123.39,207.46,209.78,228.71,240.77
38.25,35.25,255.71,258.46,258.07,252.40,242.47,179.31,170.72,155.72,155.05,152.92,155.38,157.06,143.39,131.83,130.65,189.49,195.74,195.02,198.26,216.51,230.30
38.25,35.75,249.98,248.04,251.85,185.05,178.34,156.96,147.52,126.32,131.60,127.92,129.90,133.27,121.64,111.96,112.39,159.64,167.39,166.44,165.17,185.29,199.30
38.25,36.25,195.92,195.58,191.36,189.31,179.49,167.28,159.11,145.97,94.89,91.10,91.91,94.77,87.85,81.40,80.91,75.81,72.60,54.49,40.42,40.17,141.06
38.25,36.75,229.73,229.83,226.20,220.02,211.07,197.88,128.50,115.56,115.86,113.45,115.31,116.97,107.50,141.28,144.45,146.25,151.87,154.12,155.10,166.81,176.06
38.25,37.25,226.00,227.09,223.52,216.39,147.30,137.06,129.41,118.47,117.77,115.09,117.31,119.02,110.30,102.01,146.24,148.53,155.15,154.82,154.08,166.40,178.89
38.25,37.75,166.00,165.20,147.00,139.94,126.75,117.60,110.81,100.46,100.01,97.19,100.16,101.33,96.09,89.76,89.97,87.86,89.74,78.46,61.47,66.40,144.42
38.25,38.25,213.71,213.14,215.26,211.23,207.66,194.98,188.94,170.82,173.74,169.86,175.17,178.65,152.70,133.29,128.54,118.41,114.74,92.86,85.70,91.95,143.29
38.25,38.75,241.09,242.16,243.21,241.49,236.92,228.61,221.46,203.98,203.84,200.72,204.72,207.40,184.25,163.50,160.59,149.12,145.04,102.27,96.55,104.34,150.03
38.25,39.25,259.93,262.59,264.28,256.63,253.42,241.76,232.94,214.86,215.35,210.70,214.11,215.70,193.27,172.40,168.01,157.67,154.25,112.49,105.68,112.83,115.94
38.25,39.75,292.19,292.42,297.30,295.24,288.62,278.04,269.64,250.26,247.57,242.73,244.27,244.39,223.53,206.81,202.39,192.53,188.65,170.38,153.45,127.00,134.85
38.25,40.25,276.31,277.21,280.49,278.38,275.17,263.65,256.86,236.30,236.94,231.52,233.35,231.82,213.50,196.26,191.46,180.84,177.63,155.87,138.42,149.41,152.86
37.75,27.75,174.89,171.46,167.91,161.46,157.94,206.87,196.25,234.85,231.56,227.28,232.22,232.93,206.44,142.54,142.77,139.27,140.06,130.27,121.77,130.50,135.17
37.75,28.25,171.43,168.68,228.44,223.52,217.13,266.01,257.25,234.16,231.02,225.49,227.45,229.63,152.57,143.69,143.24,141.02,143.30,132.28,123.64,132.33,137.56
